time,level,setpoint,inflow,error
55.0,49.16957234480168,50.0,0.6568398886650345,0.8304276551983207
56.0,49.2753266807981,50.0,0.6612518924519472,0.7246733192018979
57.0,49.44769749724283,50.0,0.6517300368402027,0.552302502757172
58.0,49.57622164757195,50.0,0.649545522161632,0.4237783524280516
59.0,49.69583749729785,50.0,0.6441126022732455,0.3041625027021482
60.0,49.84628280516327,50.0,0.6306009424764625,0.1537171948367302
61.0,49.97404743950672,50.0,0.6194775639280816,0.02595256049328043
62.0,50.07384254199559,50.0,0.6094196794320119,-0.07384254199558882
63.0,50.22211550942837,50.0,0.5877261792529708,-0.22211550942837022
64.0,50.28795447621408,50.0,0.5795048930824713,-0.28795447621408243
65.0,50.33699539194685,50.0,0.5687007962229048,-0.33699539194685
66.0,50.40442575623753,50.0,0.5529497722411907,-0.4044257562375293
67.0,50.46053953538133,50.0,0.5386934328765282,-0.4605395353813293
68.0,50.49577277668223,50.0,0.5262986801049384,-0.4957727766822302
69.0,50.54099933974838,50.0,0.5104563709150931,-0.5409993397483817
70.0,50.570852748616396,50.0,0.4968226327658706,-0.5708527486163959
71.0,50.504460663774424,50.0,0.49818490266007864,-0.5044606637744238
72.0,50.52511211468559,50.0,0.48126533848759323,-0.5251121146855908
73.0,50.465922983569115,50.0,0.48185782102924063,-0.465922983569115
74.0,50.43231720865242,50.0,0.4752928865378725,-0.43231720865242096
75.0,50.44028755467512,50.0,0.46361129479512997,-0.44028755467512326
76.0,50.49200846446154,50.0,0.44641150633907156,-0.49200846446154145
77.0,50.439343435575026,50.0,0.4481104374498693,-0.43934343557502586
78.0,50.40916816943347,50.0,0.44182011253810727,-0.409168169433471
79.0,50.471291015866925,50.0,0.42156710194867303,-0.47129101586692457
80.0,50.41720472674025,50.0,0.42444209310454156,-0.4172047267402519
81.0,50.35221399145913,50.0,0.4244421091111935,-0.3522139914591307
82.0,50.19825472049267,50.0,0.44032136858225307,-0.19825472049267034
83.0,50.093605116252476,50.0,0.44644874334490964,-0.09360511625247625
84.0,50.05270680330216,50.0,0.44629687400940454,-0.05270680330215782
85.0,49.87496713602,50.0,0.4734135657338128,0.12503286398000313
86.0,49.8285873399036,50.0,0.47491180498909247,0.17141266009640077
87.0,49.760145107314735,50.0,0.4876562479253076,0.2398548926852655
88.0,49.73147184574339,50.0,0.49390568861669776,0.26852815425660737
89.0,49.720223983910806,50.0,0.4997547251348025,0.279776016089194
90.0,49.718718704419324,50.0,0.5050437498785091,0.28128129558067627
91.0,49.757358626850866,50.0,0.5040253250021862,0.2426413731491337
92.0,49.862158095456046,50.0,0.4929942389238656,0.13784190454395429
93.0,49.850245703136906,50.0,0.5030161571392574,0.14975429686309383
